name,album,artist,popularity,genre
The Other Side (from Trolls World Tour) - Oliver Heldens Remix,The Other Side (from Trolls World Tour) [Oliver Heldens Remix],SZA,47,"['dance pop', 'pop']"
Worry About Me (MK Remix ft. blackbear),Worry About Me (Remixes),Ellie Goulding,33,"['dance pop', 'edm', 'electropop', 'indietronica', 'metropopolis', 'pop', 'uk pop']"
Sex On Fire,Sex On Fire,Tom Enzy,36,"['brazilian edm', 'pop dance', 'slap house']"
Love Is Religion (The Blessed Madonna Remix) [Mixed],Club Future Nostalgia (DJ Mix),Dua Lipa,57,"['glam rock', 'mellow gold', 'piano rock']"
Don't Say Goodbye (feat. Tove Lo),Don't Say Goodbye (feat. Tove Lo),Alok,76,"['electro house', 'pop nacional', 'slap house']"
ily (i love you baby) (Topic Remix) [feat. Emilee],ily (i love you baby) (Topic Remix) [feat. Emilee],Surf Mesa,63,['tropical house']
Love Me Land - Secondcity Remix,Love Me Land (Secondcity Remix),Zara Larsson,44,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'post-teen pop', 'scandipop', 'swedish electropop', 'swedish pop', 'tropical house']"
Daisies - Oliver Heldens Remix,Daisies (Oliver Heldens Remix),Katy Perry,43,"['dance pop', 'pop', 'post-teen pop']"
KIDS,KIDS,Alle Farben,56,"['dance pop', 'danish electronic', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'tropical house']"
Ride It,Ride It,Regard,83,"['dance pop', 'edm', 'pop', 'pop dance', 'pop edm', 'slap house', 'tropical house']"
Turn Me On (feat. Vula),Turn Me On (feat. Vula),Riton,75,"['dance pop', 'edm', 'house', 'pop dance', 'pop rap', 'tropical house', 'uk dance']"
Say So - Snakehips Remix,Say So (Snakehips Remix),Doja Cat,55,"['dance pop', 'pop']"
Diamonds - Joel Corry Remix,Diamonds (Joel Corry Remix),Sam Smith,59,"['dance pop', 'pop', 'uk pop']"
"Safety 2020 (feat. Chris Brown, Afro B & DJ Snake)","Safety 2020 (feat. Chris Brown, Afro B & DJ Snake)",GASHI,57,['k-pop']
I'll Wait,I'll Wait,Kygo,69,"['edm', 'pop', 'pop dance', 'tropical house']"
Alien - Topic Remix,Alien (Topic Remix),Dennis Lloyd,61,['israeli pop']
Surrender - Martin Jensen Remix,Surrender (Martin Jensen Remix),Natalie Taylor,56,[]
Lasting Lover - Tiësto Remix,Lasting Lover (Tiësto Remix),Sigala,60,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house']"
Tick Tock (feat. 24kGoldn) - Joel Corry Remix,Tick Tock (feat. 24kGoldn) [Joel Corry Remix],Clean Bandit,0,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance', 'uk funky']"
Bruises - Steve Void Remix,Bruises EP,Lewis Capaldi,67,"['pop', 'uk pop']"
End of Time,End of Time,K-391,70,['electro house']
Physical - Alok Remix,Physical (Remixes),Dua Lipa,50,"['glam rock', 'mellow gold', 'piano rock']"
God Is A Dancer (with Mabel),God Is A Dancer (with Mabel),Tiësto,68,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'house', 'pop', 'pop dance', 'slap house', 'trance', 'tropical house']"
RITMO (Bad Boys For Life) - Steve Aoki Remix,RITMO (Bad Boys For Life),Black Eyed Peas,57,"['dance pop', 'pop', 'pop rap']"
Can We Pretend (feat. Cash Cash) - Sigala Remix,Can We Pretend (feat. Cash Cash) [Sigala Remix],P!nk,52,"['dance pop', 'pop']"
Lift Me Up (feat. Carla Monroe),Lift Me Up (feat. Carla Monroe),Oliver Heldens,58,"['dance pop', 'edm', 'house', 'pop dance', 'pop rap', 'tropical house', 'uk dance']"
Piece Of Your Heart,Piece Of Your Heart,MEDUZA,78,"['edm', 'pop', 'pop dance', 'pop house', 'tropical house']"
Nothing Breaks Like a Heart (feat. Miley Cyrus),Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,76,"['dance pop', 'pop']"
Someone You Loved - Madism Radio Mix,Someone You Loved (Madism Radio Mix),Lewis Capaldi,56,"['pop', 'uk pop']"
We Got Love,We Got Love,Sigala,66,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house']"
Carry On - Nicky Romero Remix,Carry On (Nicky Romero Remix),Kygo,59,"['edm', 'pop', 'pop dance', 'tropical house']"
Ocean (feat. Khalid) - David Guetta Remix,Ocean (feat. Khalid) [David Guetta Remix],Martin Garrix,58,"['dance pop', 'dutch edm', 'edm', 'pop', 'pop dance', 'progressive house', 'tropical house']"
Call You Mine (feat. Bebe Rexha) - Asketa & Natan Chaim Remix,Call You Mine (Remixes),The Chainsmokers,52,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']"
