name,album,artist,popularity,genre
TiK ToK,Animal (Expanded Edition),Kesha,81,"['atl hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Pompeii,Bad Blood,Bastille,73,"['metropopolis', 'modern rock', 'pop', 'pop rock', 'tropical house']"
Best Day Of My Life,"Oh, What A Life",American Authors,79,"['indie poptimism', 'modern rock', 'pop', 'pop rock', 'rock']"
Hollaback Girl,Love Angel Music Baby (Deluxe Version),Gwen Stefani,69,"['dance pop', 'hip pop', 'pop', 'post-teen pop', 'urban contemporary']"
Cool Kids,Talking Dreams (Deluxe Edition),Echosmith,72,"['dance pop', 'electropop', 'indie poptimism', 'pop rock']"
Geronimo,Bombs Away,Sheppard,63,"['australian indie', 'australian pop', 'dance pop', 'folk-pop', 'modern rock', 'pop', 'pop rock', 'tropical house']"
Magic (feat. Rivers Cuomo),B.o.B Presents: The Adventures of Bobby Ray,B.o.B,67,"['atl hip hop', 'dirty south rap', 'hip hop', 'rap', 'southern hip hop']"
Dynamite,Rokstarr,Taio Cruz,66,"['dance pop', 'pop', 'pop rap']"
Firework,Teenage Dream,Katy Perry,51,"['dance pop', 'pop', 'post-teen pop']"
Grenade,Doo-Wops & Hooligans,Bruno Mars,76,"['dance pop', 'pop']"
Domino,Who You Are (Platinum Edition),Jessie J,66,"['dance pop', 'pop', 'pop rap', 'post-teen pop']"
We Are Never Ever Getting Back Together,Red,Taylor Swift,66,['pop']
Unwritten,Unwritten,Natasha Bedingfield,7,"['dance pop', 'europop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop']"
Poker Face,The Fame,Lady Gaga,0,"['dance pop', 'pop']"
She Will Be Loved,Songs About Jane,Maroon 5,74,"['pop', 'pop rock']"
Stronger (What Doesn't Kill You),Stronger (Deluxe Version),Kelly Clarkson,75,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'talent show']"
You Belong With Me,Fearless,Taylor Swift,70,['pop']
Beauty And A Beat,Believe (Deluxe Edition),Justin Bieber,73,['australian hip hop']
Shower,Shower,Becky G,78,"['dance pop', 'latin', 'latin pop', 'latin viral pop', 'pop', 'rap latina', 'reggaeton', 'trap latino']"
Dark Horse,PRISM (Deluxe),Katy Perry,76,"['dance pop', 'pop', 'post-teen pop']"
Slow Down,Stars Dance (Bonus Track Version),Selena Gomez,65,"['permanent wave', 'pop']"
Since U Been Gone,Breakaway,Kelly Clarkson,72,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'talent show']"
The One That Got Away,Katy Perry - Teenage Dream: The Complete Confection,Katy Perry,75,"['dance pop', 'pop', 'post-teen pop']"
Wide Awake,Katy Perry - Teenage Dream: The Complete Confection,Katy Perry,68,"['dance pop', 'pop', 'post-teen pop']"
Part Of Me,Katy Perry - Teenage Dream: The Complete Confection,Katy Perry,74,"['dance pop', 'pop', 'post-teen pop']"
S&M,Loud,Rihanna,59,"['barbadian pop', 'dance pop', 'pop', 'pop rap', 'urban contemporary']"
Wild Ones (feat. Sia),Wild Ones,Flo Rida,78,"['dance pop', 'miami hip hop', 'pop', 'pop rap']"
I Knew You Were Trouble.,Red (Deluxe Edition),Taylor Swift,61,['pop']
Chasing Cars,Eyes Open,Snow Patrol,78,"['irish rock', 'modern rock', 'neo mellow', 'permanent wave', 'pop rock', 'rock']"
Little Talks,My Head Is An Animal,Of Monsters and Men,58,"['folk-pop', 'metropopolis', 'modern rock', 'pop rock', 'stomp and holler']"
Breakeven,The Script,The Script,74,"['celtic rock', 'dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop']"
Hall of Fame (feat. will.i.am),#3,The Script,69,"['celtic rock', 'dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop']"
For the First Time,Science & Faith,The Script,62,"['celtic rock', 'dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop']"
Sweater Weather,I Love You.,The Neighbourhood,90,"['modern alternative rock', 'modern rock', 'pop']"
The A Team,+,Ed Sheeran,78,"['pop', 'uk pop']"
Electric Love,Dopamine,BØRNS,84,"['modern rock', 'pop']"
We Are Young (feat. Janelle Monáe),Some Nights,fun.,73,"['afrofuturism', 'indie soul']"
Style,1989 (Deluxe Edition),Taylor Swift,62,['pop']
Demons,Night Visions,Imagine Dragons,73,"['modern rock', 'pop', 'rock']"
Radioactive,Night Visions,Imagine Dragons,72,"['modern rock', 'pop', 'rock']"
Locked out of Heaven,Unorthodox Jukebox,Bruno Mars,84,"['dance pop', 'pop']"
Somebody That I Used To Know,Making Mirrors,Gotye,77,['australian pop']
Some Nights,Some Nights,fun.,71,"['afrofuturism', 'indie soul']"
Wake Me Up,True,Avicii,11,"['dance pop', 'edm', 'pop', 'pop dance']"
Habits (Stay High),Queen Of The Clouds,Tove Lo,75,"['dance pop', 'electropop', 'metropopolis', 'pop', 'post-teen pop', 'swedish electropop', 'swedish pop', 'swedish synthpop']"
Take Me To Church,Hozier,Hozier,0,"['irish singer-songwriter', 'pop']"
